total_time,round_number,boosting_type,class_weight,colsample_bytree,importance_type,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,n_estimators,n_jobs,num_leaves,objective,random_state,reg_alpha,reg_lambda,silent,subsample,subsample_for_bin,subsample_freq,feature_fraction,seed,correlation,corr_sharpe,corr_mean,corr_std,max_drawdown,feature_exposure,max_feature_exposure
113.4479,260,gbdt,,1,split,0.034,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0241,0.9171,0.0245,0.0267,-0.0644,0.0764,0.2491
116.4608,260,gbdt,,1,split,0.034,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0241,0.9471,0.0245,0.0259,-0.0616,0.0759,0.2485
115.9145,260,gbdt,,1,split,0.034,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.024,0.9552,0.0244,0.0256,-0.0516,0.076,0.2461
120.8574,260,gbdt,,1,split,0.034,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0234,0.9183,0.0239,0.026,-0.0583,0.076,0.2491
122.7018,260,gbdt,,1,split,0.034,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0246,1.0015,0.025,0.025,-0.0453,0.0762,0.2441
110.6625,260,gbdt,,1,split,0.036,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0238,0.8966,0.0242,0.027,-0.0607,0.0757,0.244
113.6108,260,gbdt,,1,split,0.036,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0242,0.8975,0.0247,0.0275,-0.0558,0.075,0.2472
109.8449,260,gbdt,,1,split,0.036,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0245,0.9402,0.025,0.0266,-0.0464,0.0748,0.2498
117.1597,260,gbdt,,1,split,0.036,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0245,0.9372,0.025,0.0266,-0.0616,0.0753,0.2475
117.5454,260,gbdt,,1,split,0.036,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0245,0.9365,0.025,0.0267,-0.06,0.0751,0.2488
106.2923,260,gbdt,,1,split,0.038,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.095,42,0.0234,0.9265,0.0239,0.0257,-0.0565,0.0752,0.2493
108.9701,260,gbdt,,1,split,0.038,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.1,42,0.0234,0.9124,0.0238,0.0261,-0.0506,0.0746,0.249
108.7737,260,gbdt,,1,split,0.038,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.105,42,0.0236,0.9466,0.0241,0.0254,-0.0485,0.0744,0.254
117.5137,260,gbdt,,1,split,0.038,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.11,42,0.0235,0.9437,0.024,0.0254,-0.0558,0.0738,0.2479
116.6783,260,gbdt,,1,split,0.038,3,20,0.001,0,3000,-1,31,regression,,0,0,1,1,200000,0,0.115,42,0.0245,0.9518,0.0249,0.0262,-0.0459,0.0738,0.2512
