rank,usersname,Mode,compute,corr,mmc,fnc,stake,roi_1_day,roi_3_months,roi_1_year
2,LABRAT,No Mode,No Compute,0.0454,0.0178,0.0259,92.85,0.014,0.565,2.001
4,EZEKIEL_47_V12,No Mode,No Compute,0.04,0.0128,0.0207,0.0,0.0,0.0,0.0
8,CALD,No Mode,No Compute,0.0388,0.0098,0.0254,10.0,0.015,0.0,0.0
10,UUAZED4,No Mode,No Compute,0.0387,0.0146,0.0175,0.0,0.028,0.0,0.0
12,UUAZED12,No Mode,No Compute,0.038,0.0105,0.0173,0.0,0.0,0.0,0.0
32,DWARF_CORRELATION,No Mode,No Compute,0.0364,0.0072,0.0223,0.0,0.0,0.0,0.0
33,DATACON,No Mode,No Compute,0.0364,0.0076,0.0182,139.84,0.02,0.0,0.0
34,SINOOKAS,No Mode,No Compute,0.0363,0.0098,0.0166,0.0,0.0,0.0,0.0
35,FXH6,No Mode,No Compute,0.0362,0.0115,0.0232,119.53,0.011,0.386,0.0
39,EIT_4,No Mode,No Compute,0.0361,0.0081,0.0215,0.018,0.013,0.457,0.0
52,QUANTAQUETZALCOATLUS,No Mode,No Compute,0.0355,0.0086,0.0164,0.0,0.0,0.0,0.0
53,YUDANSHAI,No Mode,No Compute,0.0355,0.0062,0.0214,183.66,0.0069,0.406,2.44
55,MATTIASL,No Mode,No Compute,0.0355,0.009,0.016,0.0,0.012,0.448,0.0
58,ATRIA_MONITOR2,No Mode,No Compute,0.0354,0.006,0.0222,116.66,0.019,0.0,0.0
60,AHKITCHAI,No Mode,No Compute,0.0354,0.0079,0.0161,39.72,0.011,0.39,2.115
66,FXH1,No Mode,No Compute,0.0351,0.0053,0.0217,102.25,0.016,0.352,0.0
70,NEKOG_EXAMPLE,No Mode,No Compute,0.035,0.0054,0.0212,0.019,0.015,0.361,0.0
71,GENESIS_1_V11,No Mode,No Compute,0.035,0.0079,0.0144,0.0,0.0,0.0,0.0
72,SUPERNOVALEX,No Mode,No Compute,0.035,0.0051,0.0179,0.019,0.037,0.647,0.0
73,BOBBLES,No Mode,No Compute,0.0349,0.0046,0.0204,7.01,0.017,0.384,2.118
74,YUDANSHAIII,No Mode,No Compute,0.0348,0.0087,0.0137,2.52,0.0021,0.372,2.563
75,UUAZED13,No Mode,No Compute,0.0348,0.0104,0.0148,20.0,0.0055,0.0,0.0
78,NOELBOT,No Mode,No Compute,0.0347,0.0046,0.0201,45.8,0.015,0.39,1.753
82,YUDANSHAIV,No Mode,No Compute,0.0346,0.0086,0.0133,2.44,0.003,0.372,0.0
89,HIRO_GRADIENTBOOST,No Mode,No Compute,0.0344,0.0076,0.0184,0.0,0.0,0.0,0.0
90,GAUSSNEWTON_NEW,No Mode,No Compute,0.0343,0.0166,0.0191,0.0,0.0,0.0,0.0
91,DEFAULT_EXAMPLE,No Mode,No Compute,0.0342,0.0045,0.0206,17.33,0.017,0.338,0.0
93,BROWNBEAR,No Mode,No Compute,0.0341,0.0042,0.0191,5.43,0.017,0.379,1.52
100,SAPPHIRESCIPIONYX,No Mode,No Compute,0.034,0.007,0.0143,0.0,0.0,0.0,0.0
107,SWAGBOT,No Mode,No Compute,0.0338,0.0109,0.0113,3.2,0.026,0.539,0.0
108,ATRIA_MONITOR1,No Mode,No Compute,0.0338,0.0046,0.0175,0.0,0.0,0.0,0.0
111,OPTIMISED1,No Mode,No Compute,0.0338,0.0032,0.0192,0.011,0.02,0.0,0.0
113,MATTIASL_MODEL2,No Mode,No Compute,0.0337,0.0079,0.0183,438.99,0.0022,0.416,0.0
114,CS4,No Mode,No Compute,0.0337,0.0059,0.0176,0.0,0.0,0.0,0.0
115,CS7,No Mode,No Compute,0.0337,0.007,0.0133,0.0,0.0,0.0,0.0
116,TOKIO,No Mode,No Compute,0.0336,0.0044,0.0191,15.33,0.018,0.321,0.0
119,GINGCOU,No Mode,No Compute,0.0336,0.0142,0.0143,0.0,0.0,0.0,0.0
122,CHANNELING,No Mode,No Compute,0.0336,0.0066,0.019,0.0,0.0,0.0,0.0
123,MUSSORGSKY,No Mode,No Compute,0.0335,0.0078,0.0116,0.0,0.0,0.0,0.0
124,LOTHLORIEN,No Mode,No Compute,0.0334,0.0113,0.0103,0.0,0.0,0.0,0.0
125,FXH5,No Mode,No Compute,0.0334,0.0066,0.0155,118.03,0.011,0.353,0.0
127,PSEUDO_RANDOM,No Mode,No Compute,0.0334,0.0067,0.0189,9.75,0.0076,0.343,1.703
128,QUANTS2,No Mode,No Compute,0.0334,0.0093,0.012,0.0,0.0,0.0,0.0
132,CS5,No Mode,No Compute,0.0333,0.0049,0.0143,0.0,0.0,0.0,0.0
133,HELLOZML3,No Mode,No Compute,0.0333,0.0063,0.0136,0.0,0.0,0.0,0.0
135,ANNA3,No Mode,No Compute,0.0333,0.0038,0.0189,25.9,0.01,0.346,1.222
137,CS9,No Mode,No Compute,0.0332,0.0059,0.0141,0.0,0.0,0.0,0.0
143,AKUMEI4,No Mode,No Compute,0.033,0.0039,0.0187,9.13,0.0051,0.35,0.0
154,DESCAI,No Mode,No Compute,0.0327,0.0057,0.0129,24.42,0.0059,0.38,2.471
156,ANNA1,No Mode,No Compute,0.0327,0.0036,0.0193,3.82,0.018,0.301,0.735
162,DURASM_TEST_STACK,No Mode,No Compute,0.0325,0.0052,0.0237,0.0,0.0,0.0,0.0
164,HELLOZML2,No Mode,No Compute,0.0325,0.0062,0.0134,0.0,0.0,0.0,0.0
166,WILDROBOT,No Mode,No Compute,0.0324,0.0072,0.0209,1.37,0.03,0.276,0.0
169,COLT,No Mode,No Compute,0.0322,0.0061,0.0169,69.77,0.013,0.329,2.003
171,K2015,No Mode,No Compute,0.0321,0.0042,0.0168,0.79,0.029,0.367,0.0
174,GM_G,No Mode,No Compute,0.032,0.0091,0.0041,0.0,0.0,0.0,0.0
176,IAREMUN,No Mode,No Compute,0.0319,0.0056,0.0179,59.45,0.0058,0.386,0.0
180,STRAVINSKY,No Mode,No Compute,0.0319,0.0049,0.0144,0.16,0.011,0.396,0.0
181,SARASTI,No Mode,No Compute,0.0318,0.0042,0.0183,0.0,0.0,0.0,0.0
184,V4,No Mode,No Compute,0.0318,0.0055,0.0185,62.27,0.0095,0.362,0.0
185,BOKONON,No Mode,No Compute,0.0317,0.0049,0.0178,0.0,0.0,0.0,0.0
193,DLKL4,No Mode,No Compute,0.0316,0.0079,0.0184,0.0,0.0,0.0,0.0
194,NEUROCOMPUTING1,No Mode,No Compute,0.0316,0.0024,0.016,0.0,0.0,0.0,0.0
196,PYCARCAT,No Mode,No Compute,0.0316,0.0054,0.0154,0.0,0.0,0.0,0.0
198,ANNA5,No Mode,No Compute,0.0315,0.0029,0.0181,0.0,0.0,0.0,0.0
200,ATRIA,No Mode,No Compute,0.0315,0.0022,0.0174,171.37,0.021,0.329,0.0
201,KNOCKONWOOD3,No Mode,No Compute,0.0315,0.0078,0.0115,0.0,0.0,0.0,0.0
203,QUANTS3,No Mode,No Compute,0.0315,0.003,0.0163,0.0,0.0,0.0,0.0
208,CS6,No Mode,No Compute,0.0314,0.0027,0.0159,0.0,0.0,0.0,0.0
211,WILDROBOT3,No Mode,No Compute,0.0313,0.0034,0.0175,19.14,0.022,0.291,0.0
212,GM_L,No Mode,No Compute,0.0313,0.0095,0.0055,0.0,0.0,0.0,0.0
214,PERISTOMATIC,No Mode,No Compute,0.0313,0.0009,0.0165,0.023,0.013,0.358,1.849
222,CELESTE_BASELINE,No Mode,No Compute,0.0312,0.0021,0.0176,0.45,0.015,0.277,0.0
223,KATSUDONDAYO,No Mode,No Compute,0.0312,0.0021,0.0175,0.0,0.0,0.0,0.0
227,KEMO1,No Mode,No Compute,0.0312,0.0019,0.0169,0.0,0.0,0.0,0.0
228,KEMO4,No Mode,No Compute,0.0312,0.0019,0.0169,0.0,0.0,0.0,0.0
2250,MMC,No Mode,No Compute,0.0312,0.0017,0.017,10.95,0.028,0.306,0.0
232,BEANS,No Mode,No Compute,0.0311,0.0043,0.0157,0.0,0.0,0.0,0.0
235,J1703D8,No Mode,No Compute,0.0311,0.0044,0.0126,0.0,0.0,0.0,0.0
238,STAKESTRONG,No Mode,No Compute,0.0311,0.0078,0.0184,0.0,0.016,0.466,2.163
240,CELESTE_JUNO,No Mode,No Compute,0.031,0.0019,0.0179,0.017,0.023,0.268,0.0
242,HIRO_CATBOOST,No Mode,No Compute,0.031,0.0039,0.0175,0.0,0.0,0.0,0.0
246,ZODIAK3,No Mode,No Compute,0.0309,0.0018,0.0165,0.02,0.017,0.272,0.0
251,MIZUNASHIAKARI,No Mode,No Compute,0.0308,0.0016,0.017,0.0,0.0,0.0,0.0
254,MIKEC_2,No Mode,No Compute,0.0308,0.0023,0.0158,0.0,0.0,0.0,0.0
256,TALIPINI,No Mode,No Compute,0.0308,0.002,0.0184,44.5,0.0027,0.313,0.0
259,WACAXXX,No Mode,No Compute,0.0307,0.0013,0.0171,204.63,0.02,0.296,2.346
260,MODEL_T,No Mode,No Compute,0.0307,0.0013,0.0171,0.023,0.02,0.287,0.0
262,KEMO3,No Mode,No Compute,0.0307,0.0013,0.0171,0.0,0.0,0.0,0.0
263,VALUEBET,No Mode,No Compute,0.0307,0.0013,0.0171,0.015,0.02,0.287,0.0
264,ROULETTE,No Mode,No Compute,0.0307,0.0013,0.0171,0.11,0.02,0.287,0.0
265,WACAXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,16.84,0.02,0.296,0.0
266,LILK,No Mode,No Compute,0.0307,0.0013,0.0171,0.77,0.02,0.287,0.0
267,FIRSTPLACE,No Mode,No Compute,0.0307,0.0013,0.0171,0.019,0.02,0.287,0.0
268,NOTSTR8,No Mode,No Compute,0.0307,0.0013,0.0171,0.016,0.02,0.287,0.0
269,INVESTOR_GON,No Mode,No Compute,0.0307,0.0013,0.0171,147.69,0.02,0.296,0.0
270,WACAXXXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,16.84,0.02,0.296,0.0
271,HALF,No Mode,No Compute,0.0307,0.0013,0.0171,0.012,0.02,0.287,0.0
272,1PERCENT,No Mode,No Compute,0.0307,0.0013,0.0171,0.019,0.02,0.287,0.0
273,WACAXXXXXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,17.14,0.02,0.296,0.0
274,WACAXX,No Mode,No Compute,0.0307,0.0013,0.0171,44.29,0.02,0.296,2.2
275,WACAXXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,12.1,0.02,0.296,0.0
276,WACAXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,33.82,0.02,0.296,0.0
277,WACAXXXXXXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,57.43,0.02,0.296,0.0
278,WACAXXXX,No Mode,No Compute,0.0307,0.0013,0.0171,17.12,0.02,0.296,0.0
279,LUKE_1_V38,No Mode,No Compute,0.0307,0.0013,0.0171,0.0,0.0,0.0,0.0
280,PRETTYPOLACKO,No Mode,No Compute,0.0307,0.0013,0.0171,124.82,0.02,0.295,0.0
281,MINI,No Mode,No Compute,0.0307,0.0013,0.0171,0.0,0.0,0.0,0.0
282,GRAV4,No Mode,No Compute,0.0307,0.0013,0.0171,105.31,0.02,0.295,2.176
283,HIRO_XGBOOST,No Mode,No Compute,0.0307,0.0013,0.0171,0.0,0.0,0.0,0.0
284,INTEGRATION_TEST_7,No Mode,No Compute,0.0307,0.0013,0.0171,0.052,0.02,0.296,2.515
285,WACAX,No Mode,No Compute,0.0307,0.0013,0.0171,621.89,0.02,0.296,1.826
286,ETRADER07,No Mode,No Compute,0.0307,0.0013,0.0171,44.79,0.02,0.296,2.311
288,MINERVAAI,No Mode,No Compute,0.0307,0.0069,0.0124,0.0,0.047,0.0,0.0
289,JVK,No Mode,No Compute,0.0307,0.0042,0.013,49.04,0.0075,0.309,2.055
294,PROVERBS_11_V1,No Mode,No Compute,0.0306,0.0081,0.0118,0.0,0.0,0.0,0.0
296,DLKL0,No Mode,No Compute,0.0306,0.0138,0.0146,0.0,0.0,0.0,0.0
303,GRANTSCHNEIDERBO,No Mode,No Compute,0.0305,0.0016,0.0169,0.017,0.019,0.341,0.0
305,734L34F1,No Mode,No Compute,0.0305,0.003,0.0151,22.88,0.024,0.315,0.0
309,GRAV1,No Mode,No Compute,0.0303,0.0041,0.0094,0.0,0.0,0.0,0.0
310,FXH7,No Mode,No Compute,0.0303,0.0045,0.0119,15.44,0.0048,0.338,0.0
311,HARUKANARUAO,No Mode,No Compute,0.0303,0.0011,0.0166,0.0,0.0,0.0,0.0
312,PAULI,No Mode,No Compute,0.0303,0.0041,0.0147,1.61,0.0042,0.251,0.0
314,T_K_BENCHMARK,No Mode,No Compute,0.0303,0.0014,0.0157,67.3,0.014,0.269,0.0
317,BIGK,No Mode,No Compute,0.0303,0.001,0.0169,2.15,0.021,0.265,1.562
320,PENDULUM,No Mode,No Compute,0.0302,0.0023,0.0166,0.0,0.0,0.0,0.0
322,YUDANSHAII,No Mode,No Compute,0.0301,0.0018,0.0166,68.13,0.015,0.295,2.477
326,XIAOPI,No Mode,No Compute,0.0301,0.002,0.0161,3.49,0.0017,0.294,2.228
327,M00NLIGHT,No Mode,No Compute,0.0301,0.002,0.0161,4.49,0.0017,0.294,2.228
328,VIVIANSILAI,No Mode,No Compute,0.0301,0.002,0.0161,4.11,0.0017,0.294,2.228
331,ADMIRALENTHALPY,No Mode,No Compute,0.03,0.0055,0.0113,157.55,0.018,0.302,0.0
332,RDEGGAU,No Mode,No Compute,0.03,0.0018,0.0159,3.99,0.0044,0.287,2.402
333,V1NC3N71,No Mode,No Compute,0.03,0.0009,0.0176,16.51,0.028,0.342,0.0
338,GAUSSNEWTON_HISTORY2,No Mode,No Compute,0.0298,0.0067,0.0186,0.0,0.0,0.0,0.0
343,CAMARON_AI,No Mode,No Compute,0.0297,0.0016,0.0214,14.4,0.0047,0.265,0.828
344,NEUROCOMPUTING2,No Mode,No Compute,0.0297,0.0007,0.0176,0.0,0.0,0.0,0.0
346,LISBOA,No Mode,No Compute,0.0296,-0.0001,0.0166,0.014,0.016,0.34,0.0
347,HIRO_LIGHTGBM,No Mode,No Compute,0.0296,0.0025,0.0154,0.0,0.0,0.0,0.0
354,GRAV6,No Mode,No Compute,0.0295,0.0014,0.0112,0.0,0.0,0.0,0.0
355,THE_DIVERGENT,No Mode,No Compute,0.0295,0.0016,0.0125,15.18,0.0023,0.35,0.0
357,POLISH,No Mode,No Compute,0.0294,0.0029,0.0136,0.0,0.0,0.0,0.0
359,ESTOCOLMO,No Mode,No Compute,0.0294,0.0043,0.0213,12.32,0.0011,0.137,0.0
360,SMILE,No Mode,No Compute,0.0294,0.0028,0.0146,0.0,0.0,0.0,0.0
361,USIGMA4,No Mode,No Compute,0.0294,0.001,0.0161,64.94,0.016,0.262,0.0
363,AL_CAPONE,No Mode,No Compute,0.0293,0.0007,0.0148,16.65,0.0047,0.276,2.362
365,SCIO,No Mode,No Compute,0.0293,0.0125,0.0161,0.0,0.0,0.0,0.0
369,POWER,No Mode,No Compute,0.0293,0.003,0.0147,0.0,0.0,0.0,0.0
372,LOW_COR_PRED,No Mode,No Compute,0.0293,0.0026,0.0141,14.99,0.011,0.299,0.0
374,SHOSTAKOVICH,No Mode,No Compute,0.0292,0.0025,0.0108,0.0,0.0,0.0,0.0
377,DEEPER_WISH,No Mode,No Compute,0.0292,0.0024,0.0119,0.0,0.0,0.0,0.0
379,ORACULUM3,No Mode,No Compute,0.0292,0.0035,0.0094,0.0,0.0,0.0,0.0
381,CS8,No Mode,No Compute,0.0292,0.0008,0.0159,0.0,0.0,0.0,0.0
382,NEUROCOMPUTING,No Mode,No Compute,0.0292,0.0014,0.0127,6.09,0.012,0.267,2.302
391,MAXIMUM_MC,No Mode,No Compute,0.029,0.0057,0.0108,0.0,0.0,0.0,0.0
392,KEMO2,No Mode,No Compute,0.0289,-0.0005,0.0145,0.0,0.0,0.0,0.0
396,EIGENSQUARE25,No Mode,No Compute,0.0289,0.0004,0.0142,0.01,0.0001,0.0,0.0
398,VANGUARD,No Mode,No Compute,0.0289,0.0151,0.0072,0.0,0.0,0.0,0.0
404,GRAV3,No Mode,No Compute,0.0288,0.0047,0.005,0.001,0.0014,0.353,0.0
405,DAVAT,No Mode,No Compute,0.0288,0.0042,0.0074,0.29,0.013,0.0,0.0
410,V5,No Mode,No Compute,0.0287,0.0059,0.02,80.77,0.0094,0.289,0.0
415,FEDEAI_N3,No Mode,No Compute,0.0287,0.0035,0.0097,3.2,0.014,0.327,1.998
416,FEDEAI_2,No Mode,No Compute,0.0287,0.0035,0.0097,3.14,0.014,0.327,2.004
417,ALBERTOCORRIAS,No Mode,No Compute,0.0287,0.0037,0.0217,8.18,0.026,0.233,0.0
422,MECHANIZD,No Mode,No Compute,0.0286,-0.0004,0.0162,1.12,0.025,0.207,2.049
424,BUDBOT,No Mode,No Compute,0.0285,0.0002,0.0161,16.66,0.0023,0.206,2.091
429,BUDBOT_8,No Mode,No Compute,0.0285,0.0031,0.0103,1.47,0.0001,0.341,0.0
431,AKUMEI3,No Mode,No Compute,0.0284,0.0078,0.0102,7.29,0.027,0.301,2.085
434,CS3,No Mode,No Compute,0.0284,0.0013,0.014,0.0,0.0,0.0,0.0
445,JOEBIDDEN2,No Mode,No Compute,0.0282,0.0014,0.0181,0.0,0.012,0.327,2.489
451,ANNA13,No Mode,No Compute,0.0281,0.0066,-0.0015,0.0,0.0,0.0,0.0
452,UUAZED3,No Mode,No Compute,0.0281,0.0062,0.0051,73.7,0.03,0.464,1.379
453,CRYPTOBELLUM,No Mode,No Compute,0.0281,0.007,0.0108,0.01,0.0094,0.0,0.0
455,JEREMY_BERROS_3,No Mode,No Compute,0.028,0.0012,0.0167,4.26,0.0071,0.139,0.0
458,REMPULSE,No Mode,No Compute,0.028,0.0013,0.0184,0.76,0.021,0.192,0.0
462,XGBOOST_1,No Mode,No Compute,0.028,0.0017,0.0188,4.8,0.011,0.101,0.0
465,FXH8,No Mode,No Compute,0.0279,0.0033,0.0178,0.018,0.0087,0.317,0.0
471,FXH3,No Mode,No Compute,0.0278,0.0001,0.0158,0.016,0.024,0.267,0.0
473,MINDFUL_WISH,No Mode,No Compute,0.0278,0.0015,0.0106,0.0,0.0,0.0,0.0
477,HAHAAI,No Mode,No Compute,0.0278,0.0055,0.0153,0.0,0.0,0.0,0.0
479,THE_HALF_AND_HALF,No Mode,No Compute,0.0277,-0.0005,0.0158,15.03,0.011,0.189,0.0
481,ANOTHER_BUBBLE,No Mode,No Compute,0.0277,0.0072,0.0073,0.0,0.0,0.0,0.0
485,NAIROBI,No Mode,No Compute,0.0276,0.0013,0.0183,1.51,0.0078,0.168,0.0
491,KNOWITALL,No Mode,No Compute,0.0274,0.0027,0.0113,0.0,0.0,0.0,0.0
492,EXAMPLE_COPY,No Mode,No Compute,0.0274,0.0039,0.0088,0.0,0.0,0.0,0.0
493,KEMO,No Mode,No Compute,0.0274,0.0009,0.0095,0.018,0.018,0.298,0.0
498,THE_UNEXPOSED,No Mode,No Compute,0.0273,0.0015,0.0116,14.96,0.005,0.293,0.0
502,V1NC3N72,No Mode,No Compute,0.0273,-0.0015,0.0164,12.99,0.031,0.25,0.0
503,SSH5,No Mode,No Compute,0.0273,0.0011,0.0157,30.84,0.015,0.274,0.0
508,TPU,No Mode,No Compute,0.0272,-0.0004,0.0142,14.78,0.02,0.296,0.0
512,REHOBOAM,No Mode,No Compute,0.0271,0.0067,0.0113,13.16,0.067,0.273,0.0
513,ELISA,No Mode,No Compute,0.0271,0.0004,0.0117,0.0,0.0,0.0,0.0
517,AALLMENDINGER,No Mode,No Compute,0.0271,-0.0004,0.014,3.65,0.012,0.231,0.0
518,NOKD,No Mode,No Compute,0.0271,0.0023,0.01,2.26,0.032,0.352,0.0
519,MATMISH1,No Mode,No Compute,0.0271,-0.0009,0.0196,871.5,0.014,0.197,2.289
521,STANDARD,No Mode,No Compute,0.027,0.0023,0.0054,0.0,0.0,0.0,0.0
523,TREE_FUK,No Mode,No Compute,0.027,-0.0025,0.016,0.011,0.0099,0.0,0.0
526,USIGMA9,No Mode,No Compute,0.0269,-0.0003,0.0122,0.025,0.02,0.295,0.0
534,MENDRINOS_TEST3,No Mode,No Compute,0.0268,0.0018,0.0154,18.94,0.02,0.28,0.0
537,APT,No Mode,No Compute,0.0267,0.014,0.0059,0.0,0.0,0.0,0.0
540,54JU1,No Mode,No Compute,0.0267,-0.0018,0.0164,26.8,0.034,0.199,1.752
541,USIGMA2,No Mode,No Compute,0.0266,0.0048,0.019,17.37,0.012,0.272,0.0
543,MOSCU,No Mode,No Compute,0.0266,0.0042,0.0215,13.57,0.013,0.057,0.0
544,KEMO9,No Mode,No Compute,0.0265,-0.002,0.0118,0.0,0.0,0.0,0.0
546,KNOCKONWOOD,No Mode,No Compute,0.0265,0.0029,0.0183,0.0,0.0,0.0,0.0
548,NORTDC,No Mode,No Compute,0.0265,0.0009,0.0167,55.42,0.021,0.23,1.423
553,V6,No Mode,No Compute,0.0265,0.0043,0.0188,112.59,0.006,0.244,0.0
557,WONSAI,No Mode,No Compute,0.0264,0.0039,0.0129,0.0,0.0,0.0,0.0
566,VENUSAI,No Mode,No Compute,0.0263,0.003,0.011,0.0,0.0,0.0,0.0
570,LEONIDAS,No Mode,No Compute,0.0261,0.0012,0.0212,714.97,0.022,0.112,1.06
573,SSHB,No Mode,No Compute,0.0261,0.002,0.012,14.53,0.016,0.219,0.0
574,THE_AIJOE1,No Mode,No Compute,0.0261,0.0033,0.0137,11.98,0.007,0.0,0.0
575,ANTONIOAI2,No Mode,No Compute,0.026,0.0008,0.0114,0.0,0.0,0.0,0.0
577,GAUSSNEWTON_HISTORY,No Mode,No Compute,0.026,0.0059,0.0147,0.0,0.0,0.0,0.0
578,OBLIQUE,No Mode,No Compute,0.026,0.0109,0.0094,0.0,0.0,0.0,0.0
579,YET_ANOTHER_DOGE,No Mode,No Compute,0.026,-0.0016,0.0143,0.13,0.018,0.206,0.0
580,MARTINSHKRELI,No Mode,No Compute,0.0259,0.0015,0.0185,10.08,0.0038,0.041,0.0
581,SCRIABIN,No Mode,No Compute,0.0259,0.0001,0.0099,146.45,0.0079,0.286,1.934
587,PROKOFIEV,No Mode,No Compute,0.0258,0.0019,0.0128,8.4,0.012,0.314,2.003
593,WOOBE,No Mode,No Compute,0.0258,-0.0008,0.0114,14.7,0.0012,0.245,0.0
595,SCIRPUS,No Mode,No Compute,0.0257,0.0087,0.0109,0.0,0.0,0.0,0.0
596,BUDBOT_4,No Mode,No Compute,0.0257,0.0005,0.01,0.017,0.0066,0.243,0.0
599,TESTNET666,No Mode,No Compute,0.0257,0.0011,0.0179,0.016,0.013,0.083,0.0
600,EXP_7LEAVES,No Mode,No Compute,0.0257,0.0025,0.01,0.0,0.0,0.0,0.0
602,MENDRINOS_TEST,No Mode,No Compute,0.0256,0.0,0.0142,1.75,0.02,0.24,0.0
603,MENDRINOS,No Mode,No Compute,0.0256,0.0,0.0142,566.08,0.02,0.24,0.0
604,MENDRINOSEXP,No Mode,No Compute,0.0256,0.0,0.0142,39.86,0.02,0.24,0.0
619,MRGRAVEDIGGER,No Mode,No Compute,0.0254,0.0035,0.0155,0.019,0.016,0.204,0.0
620,CZERNY,No Mode,No Compute,0.0254,0.0,0.0132,3.26,0.018,0.289,2.367
621,PINKY_AND_THE_BRAIN,No Mode,No Compute,0.0254,0.0014,0.0063,66.28,0.012,0.288,1.525
622,DEEP WISH,No Mode,No Compute,0.0254,0.0,0.0091,159.96,0.012,0.182,1.767
627,SSH6,No Mode,No Compute,0.0253,0.0023,0.0141,50.3,0.026,0.267,0.0
631,KOERRIE8,No Mode,No Compute,0.0252,-0.0028,0.014,34.93,0.027,0.0,0.0
632,CRYPTOQUANT,No Mode,No Compute,0.0252,-0.001,0.0147,0.0,0.03,0.152,1.871
633,KOERRIE10,No Mode,No Compute,0.0252,-0.0027,0.0137,34.9,0.025,0.0,0.0
635,SEBBIT,No Mode,No Compute,0.0251,0.0038,0.0115,1.19,0.0089,0.367,0.772
636,THE_AIJOE3,No Mode,No Compute,0.0251,0.0008,0.0132,11.65,0.0064,0.0,0.0
637,SSH3,No Mode,No Compute,0.0251,0.0033,0.0158,59.83,0.0043,0.246,1.311
649,GAUSSNEWTON_TORCH3,No Mode,No Compute,0.0249,0.0036,0.0124,0.0,0.0,0.0,0.0
651,HITCHSPOCKIAN,No Mode,No Compute,0.0249,0.0004,0.0159,13.96,0.0099,0.0,0.0
654,ADMIRALTEST,No Mode,No Compute,0.0248,0.0008,0.0053,60.19,0.0021,0.24,0.0
655,KOERRIE6,No Mode,No Compute,0.0248,-0.0025,0.0143,34.0,0.014,0.0,0.0
659,MISCHIEF,No Mode,No Compute,0.0248,-0.0016,0.014,0.0,0.0,0.0,0.0
660,LUMINOUS,No Mode,No Compute,0.0247,0.0002,0.0084,0.0,0.018,0.0,0.0
662,MODEL_ALBATROSS,No Mode,No Compute,0.0247,0.0046,0.0197,15.88,0.0087,0.033,0.0
663,MODEL_TURKEYS,No Mode,No Compute,0.0247,0.0046,0.0197,15.56,0.0087,0.033,0.0
666,EXP_MAMO,No Mode,No Compute,0.0246,0.0015,0.0087,0.0,0.0,0.0,0.0
668,ANNA14,No Mode,No Compute,0.0246,0.0081,0.0013,0.0,0.0,0.0,0.0
675,CAESIUMCOELACANTH,No Mode,No Compute,0.0245,0.0031,0.0071,0.0,0.0,0.0,0.0
684,WAMPETER,No Mode,No Compute,0.0244,0.0002,0.0072,0.0,0.0,0.0,0.0
688,SATURNAI,No Mode,No Compute,0.0243,0.0004,0.0139,0.0,0.0,0.0,0.0
689,VALLMENDINGER,No Mode,No Compute,0.0242,-0.0016,0.0092,3.27,0.025,0.16,0.0
691,PROBJECT,No Mode,No Compute,0.0242,0.0076,0.0139,62.65,0.0072,0.0,0.0
693,WE_ARE_ALPHACOOKS,No Mode,No Compute,0.0242,0.0006,0.0137,0.011,0.024,0.0,0.0
700,JOHNNYJOHNNY,No Mode,No Compute,0.024,-0.0011,0.0185,0.0,0.019,0.202,1.869
702,BUDBOT_9,No Mode,No Compute,0.024,0.0006,0.0106,2.83,0.012,0.236,0.0
704,ATTENTION,No Mode,No Compute,0.0239,0.0006,0.0139,7.59,0.015,0.209,0.0
707,DWARF_SORTINO,No Mode,No Compute,0.0239,0.0101,0.0089,0.0,0.0,0.0,0.0
709,BLINKI,No Mode,No Compute,0.0238,-0.0008,0.0127,0.016,0.014,0.17,0.0
713,KNOCKONWOOD4,No Mode,No Compute,0.0237,0.0016,0.011,0.0,0.0,0.0,0.0
714,RIO,No Mode,No Compute,0.0237,0.0004,0.018,2.81,0.0001,0.046,0.0
715,VACSO,No Mode,No Compute,0.0237,0.0035,0.0192,92.91,0.0024,0.18,0.0
718,NOSAAI5,No Mode,No Compute,0.0236,-0.0003,0.0148,0.12,0.019,0.129,0.0
722,DEFINITE_OPTIMIST_AI,No Mode,No Compute,0.0236,-0.0016,0.0105,0.011,0.0056,0.0,0.0
725,THE_AIJOE5,No Mode,No Compute,0.0235,-0.002,0.0126,11.52,0.0005,0.0,0.0
727,GLOBALMACRO,No Mode,No Compute,0.0235,0.0056,0.0099,0.0,0.066,0.278,1.368
730,RAPPENLAGER3,No Mode,No Compute,0.0234,-0.0021,0.0072,0.0,0.0,0.0,0.0
731,ALGONELL,No Mode,No Compute,0.0234,0.0088,0.0129,0.0,0.044,0.267,0.409
737,HOLMIUMHYLAEOSAUR,No Mode,No Compute,0.0233,-0.0006,0.0121,0.0,0.0,0.0,0.0
740,EXP_SU3,No Mode,No Compute,0.0233,-0.0002,0.0077,0.0,0.0,0.0,0.0
742,WSW,No Mode,No Compute,0.0233,0.0074,0.0163,132.24,0.0091,0.241,1.043
